SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date,UNDERLYING_CLOSE,UNDERLYING_OPEN,UNDERLYING_HIGH,UNDERLYING_LOW,UNDERLYING_VOLUME,DTE_DAYS,market_price,underlying_price,ret_1d,ret_21d,hv_21d,hv_63d,vol_regime,trend_regime,regime_label,moneyness,log_moneyness,year,month
MM3100BL6,2024-01-03,,,,,1395.5,,,570.0,0,C,3100.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079,1395.5,3130.23,,,,,,down,,1.0097516129032258,0.00970437278937492,2024,1
MM3200BL6,2024-01-03,,,,,1308.95,,,3160.0,0,C,3200.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079,1308.95,3130.23,,,,,,down,,0.978196875,-0.0220443255252054,2024,1
MM3250BL6,2024-01-03,,,,,1266.45,,,1738.0,0,C,3250.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079,1266.45,3130.23,,,,,,down,,0.9631476923076923,-0.03754851206117067,2024,1
MM2500BR6,2024-01-04,,,,,17.5,,,,0,P,2500.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,17.5,3136.07,0.0018639393871371368,,,,,down,,1.254428,0.22667969179345848,2024,1
MM2550BR6,2024-01-04,,,,,19.4,,,,0,P,2550.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,19.4,3136.07,0.0018639393871371368,,,,,down,,1.2298313725490198,0.2068770644972788,2024,1
MM2600BF6,2024-01-04,,,,,1490.25,,,98.0,0,C,2600.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,1490.25,3136.07,0.0018639393871371368,,,,,down,,1.2061807692307693,0.1874589786401772,2024,1
MM2600BR6,2024-01-04,,,,,21.55,,,,0,P,2600.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,21.55,3136.07,0.0018639393871371368,,,,,down,,1.2061807692307693,0.1874589786401772,2024,1
MM2650BF6,2024-01-04,,,,,1442.65,,,1144.0,0,C,2650.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,1442.65,3136.07,0.0018639393871371368,,,,,down,,1.183422641509434,0.16841078366948264,2024,1
MM2700BF6,2024-01-04,,,,,1395.35,,,954.0,0,C,2700.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,1395.35,3136.07,0.0018639393871371368,,,,,down,,1.1615074074074074,0.1497186506573301,2024,1
MM2700BR6,2024-01-04,,,,,26.65,,,,0,P,2700.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,26.65,3136.07,0.0018639393871371368,,,,,down,,1.1615074074074074,0.1497186506573301,2024,1
MM2750BF6,2024-01-04,,,,,1348.35,,,144.0,0,C,2750.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,1348.35,3136.07,0.0018639393871371368,,,,,down,,1.140389090909091,0.13136951198913363,2024,1
MM2750BR6,2024-01-04,,,,,29.65,,,,0,P,2750.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,29.65,3136.07,0.0018639393871371368,,,,,down,,1.140389090909091,0.13136951198913363,2024,1
MM2800BF6,2024-01-04,,,,,1301.75,,,182.0,0,C,2800.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,1301.75,3136.07,0.0018639393871371368,,,,,down,,1.120025,0.11335100648645527,2024,1
MM2800BR6,2024-01-04,,,,,33.05,,,,0,P,2800.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896,33.05,3136.07,0.0018639393871371368,,,,,down,,1.120025,0.11335100648645527,2024,1
MM3100BI6,2024-01-04,,,,,1133.55,,,1042.0,0,C,3100.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987,1133.55,3136.07,0.0018639393871371368,,,,,down,,1.0116354838709678,0.01156831217651296,2024,1
MM3150BI6,2024-01-04,,,,,1090.25,,,1896.0,0,C,3150.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987,1090.25,3136.07,0.0018639393871371368,,,,,down,,0.9955777777777778,-0.004432029169928225,2024,1
MM3200BI6,2024-01-04,,,,,1047.6,,,854.0,0,C,3200.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987,1047.6,3136.07,0.0018639393871371368,,,,,down,,0.980021875,-0.020180386138067358,2024,1
MM3050BL6,2024-01-04,,,,,1149.0,,,1752.0,0,C,3050.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078,1149.0,3136.07,0.0018639393871371368,,,,,down,,1.0282196721311476,0.027828833048293287,2024,1
MM3100BL6,2024-01-04,,,,,1105.95,,,570.0,0,C,3100.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078,1105.95,3136.07,0.0018639393871371368,,,,,down,,1.0116354838709678,0.01156831217651296,2024,1
MM3200BL6,2024-01-04,,,,,1022.0,,,3160.0,0,C,3200.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078,1022.0,3136.07,0.0018639393871371368,,,,,down,,0.980021875,-0.020180386138067358,2024,1
MM3250BL6,2024-01-04,,,,,981.1,,,1738.0,0,C,3250.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078,981.1,3136.07,0.0018639393871371368,,,,,down,,0.9649446153846154,-0.03568457267403264,2024,1
MM2500BR6,2024-01-05,,,,,22.35,,,,0,P,2500.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,22.35,3136.37,9.565655478027679e-05,,,,,down,,1.254548,0.22677534834823732,2024,1
MM2550BR6,2024-01-05,,,,,23.6,,,,0,P,2550.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,23.6,3136.37,9.565655478027679e-05,,,,,down,,1.229949019607843,0.20697272105205758,2024,1
MM2600BF6,2024-01-05,,,,,1348.8,,,98.0,0,C,2600.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,1348.8,3136.37,9.565655478027679e-05,,,,,down,,1.2062961538461539,0.18755463519495602,2024,1
MM2600BR6,2024-01-05,,,,,25.05,,,,0,P,2600.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,25.05,3136.37,9.565655478027679e-05,,,,,down,,1.2062961538461539,0.18755463519495602,2024,1
MM2650BF6,2024-01-05,,,,,1300.4,,,1144.0,0,C,2650.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,1300.4,3136.37,9.565655478027679e-05,,,,,down,,1.1835358490566037,0.16850644022426148,2024,1
MM2700BF6,2024-01-05,,,,,1252.3,,,954.0,0,C,2700.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,1252.3,3136.37,9.565655478027679e-05,,,,,down,,1.1616185185185184,0.1498143072121089,2024,1
MM2700BR6,2024-01-05,,,,,28.55,,,,0,P,2700.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,28.55,3136.37,9.565655478027679e-05,,,,,down,,1.1616185185185184,0.1498143072121089,2024,1
MM2750BF6,2024-01-05,,,,,1204.4,,,144.0,0,C,2750.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,1204.4,3136.37,9.565655478027679e-05,,,,,down,,1.1404981818181819,0.1314651685439125,2024,1
MM2750BR6,2024-01-05,,,,,30.65,,,,0,P,2750.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,30.65,3136.37,9.565655478027679e-05,,,,,down,,1.1404981818181819,0.1314651685439125,2024,1
MM2800BF6,2024-01-05,,,,,1156.8,,,182.0,0,C,2800.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,1156.8,3136.37,9.565655478027679e-05,,,,,down,,1.120132142857143,0.1134466630412342,2024,1
MM2800BR6,2024-01-05,,,,,33.05,,,,0,P,2800.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895,33.05,3136.37,9.565655478027679e-05,,,,,down,,1.120132142857143,0.1134466630412342,2024,1
MM3100BI6,2024-01-05,,,,,970.7,,,1042.0,0,C,3100.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986,970.7,3136.37,9.565655478027679e-05,,,,,down,,1.011732258064516,0.011663968731291751,2024,1
MM3150BI6,2024-01-05,,,,,925.9,,,1896.0,0,C,3150.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986,925.9,3136.37,9.565655478027679e-05,,,,,down,,0.9956730158730158,-0.00433637261514936,2024,1
MM3200BI6,2024-01-05,,,,,881.7,,,854.0,0,C,3200.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986,881.7,3136.37,9.565655478027679e-05,,,,,down,,0.9801156249999999,-0.02008472958328854,2024,1
MM3050BL6,2024-01-05,,,,,1111.15,,,1752.0,0,C,3050.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077,1111.15,3136.37,9.565655478027679e-05,,,,,down,,1.0283180327868853,0.02792448960307216,2024,1
MM3100BL6,2024-01-05,,,,,1065.4,,,570.0,0,C,3100.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077,1065.4,3136.37,9.565655478027679e-05,,,,,down,,1.011732258064516,0.011663968731291751,2024,1
MM3200BL6,2024-01-05,,,,,975.55,,,3160.0,0,C,3200.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077,975.55,3136.37,9.565655478027679e-05,,,,,down,,0.9801156249999999,-0.02008472958328854,2024,1
MM3250BL6,2024-01-05,,,,,931.45,,,1738.0,0,C,3250.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077,931.45,3136.37,9.565655478027679e-05,,,,,down,,0.965036923076923,-0.03558891611925379,2024,1
MM2500BR6,2024-01-08,,,,,42.0,,,,0,P,2500.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,42.0,3158.58,0.007056479292172568,,,,,down,,1.2634319999999999,0.23383182764041063,2024,1
MM2550BR6,2024-01-08,,,,,46.25,,,,0,P,2550.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,46.25,3158.58,0.007056479292172568,,,,,down,,1.2386588235294118,0.21402920034423104,2024,1
MM2600BF6,2024-01-08,,,,,1391.65,,,98.0,0,C,2600.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1391.65,3158.58,0.007056479292172568,,,,,down,,1.2148384615384615,0.19461111448712942,2024,1
MM2600BR6,2024-01-08,,,,,50.9,,,,0,P,2600.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,50.9,3158.58,0.007056479292172568,,,,,down,,1.2148384615384615,0.19461111448712942,2024,1
MM2650BF6,2024-01-08,,,,,1346.8,,,1144.0,0,C,2650.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1346.8,3158.58,0.007056479292172568,,,,,down,,1.1919169811320753,0.17556291951643482,2024,1
MM2700BF6,2024-01-08,,,,,1302.35,,,954.0,0,C,2700.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1302.35,3158.58,0.007056479292172568,,,,,down,,1.1698444444444445,0.1568707865042824,2024,1
MM2700BR6,2024-01-08,,,,,61.6,,,,0,P,2700.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,61.6,3158.58,0.007056479292172568,,,,,down,,1.1698444444444445,0.1568707865042824,2024,1
MM2750BF6,2024-01-08,,,,,1258.45,,,144.0,0,C,2750.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1258.45,3158.58,0.007056479292172568,,,,,down,,1.1485745454545455,0.1385216478360859,2024,1
MM2750BR6,2024-01-08,,,,,67.7,,,,0,P,2750.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,67.7,3158.58,0.007056479292172568,,,,,down,,1.1485745454545455,0.1385216478360859,2024,1
MM2800BF6,2024-01-08,,,,,1215.1,,,182.0,0,C,2800.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1215.1,3158.58,0.007056479292172568,,,,,down,,1.1280642857142857,0.12050314233340756,2024,1
MM2800BR6,2024-01-08,,,,,74.35,,,,0,P,2800.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,74.35,3158.58,0.007056479292172568,,,,,down,,1.1280642857142857,0.12050314233340756,2024,1
MM2900BF6,2024-01-08,,,,,1130.2,,,,0,C,2900.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1130.2,3158.58,0.007056479292172568,,,,,down,,1.0891655172413792,0.08541182252213735,2024,1
MM3000BF6,2024-01-08,,,,,1047.9,,,,0,C,3000.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892,1047.9,3158.58,0.007056479292172568,,,,,down,,1.05286,0.05151027084645599,2024,1
MM3100BI6,2024-01-08,,,,,1056.9,,,1042.0,0,C,3100.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983,1056.9,3158.58,0.007056479292172568,,,,,down,,1.0188967741935484,0.01872044802346523,2024,1
MM3150BI6,2024-01-08,,,,,1017.95,,,1896.0,0,C,3150.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983,1017.95,3158.58,0.007056479292172568,,,,,down,,1.0027238095238096,0.0027201066770241294,2024,1
MM3200BI6,2024-01-08,,,,,979.8,,,854.0,0,C,3200.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983,979.8,3158.58,0.007056479292172568,,,,,down,,0.98705625,-0.01302825029111512,2024,1
MM3050BL6,2024-01-08,,,,,1187.25,,,1752.0,0,C,3050.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074,1187.25,3158.58,0.007056479292172568,,,,,down,,1.0356,0.034980968895245594,2024,1
MM3100BL6,2024-01-08,,,,,1147.25,,,570.0,0,C,3100.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074,1147.25,3158.58,0.007056479292172568,,,,,down,,1.0188967741935484,0.01872044802346523,2024,1
MM3200BL6,2024-01-08,,,,,1069.35,,,3160.0,0,C,3200.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074,1069.35,3158.58,0.007056479292172568,,,,,down,,0.98705625,-0.01302825029111512,2024,1
MM3250BL6,2024-01-08,,,,,1031.5,,,1738.0,0,C,3250.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074,1031.5,3158.58,0.007056479292172568,,,,,down,,0.9718707692307692,-0.02853243682708037,2024,1
MM2500BR6,2024-01-09,,,,,6.1,,,,0,P,2500.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,6.1,3155.55,-0.0009597522485549348,,,,,down,,1.2622200000000001,0.23287207539185592,2024,1
MM2550BR6,2024-01-09,,,,,8.05,,,,0,P,2550.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,8.05,3155.55,-0.0009597522485549348,,,,,down,,1.237470588235294,0.2130694480956761,2024,1
MM2600BF6,2024-01-09,,,,,1337.15,,,98.0,0,C,2600.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,1337.15,3155.55,-0.0009597522485549348,,,,,down,,1.213673076923077,0.19365136223857463,2024,1
MM2600BR6,2024-01-09,,,,,10.45,,,,0,P,2600.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,10.45,3155.55,-0.0009597522485549348,,,,,down,,1.213673076923077,0.19365136223857463,2024,1
MM2650BF6,2024-01-09,,,,,1290.15,,,1144.0,0,C,2650.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,1290.15,3155.55,-0.0009597522485549348,,,,,down,,1.1907735849056604,0.1746031672678801,2024,1
MM2700BF6,2024-01-09,,,,,1243.75,,,954.0,0,C,2700.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,1243.75,3155.55,-0.0009597522485549348,,,,,down,,1.1687222222222222,0.1559110342557275,2024,1
MM2700BR6,2024-01-09,,,,,17.05,,,,0,P,2700.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,17.05,3155.55,-0.0009597522485549348,,,,,down,,1.1687222222222222,0.1559110342557275,2024,1
MM2750BF6,2024-01-09,,,,,1198.1,,,144.0,0,C,2750.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,1198.1,3155.55,-0.0009597522485549348,,,,,down,,1.1474727272727274,0.1375618955875311,2024,1
MM2750BR6,2024-01-09,,,,,21.4,,,,0,P,2750.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,21.4,3155.55,-0.0009597522485549348,,,,,down,,1.1474727272727274,0.1375618955875311,2024,1
MM2800BF6,2024-01-09,,,,,1153.3,,,182.0,0,C,2800.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,1153.3,3155.55,-0.0009597522485549348,,,,,down,,1.126982142857143,0.11954339008485272,2024,1
MM2800BR6,2024-01-09,,,,,26.6,,,,0,P,2800.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,26.6,3155.55,-0.0009597522485549348,,,,,down,,1.126982142857143,0.11954339008485272,2024,1
MM3000BF6,2024-01-09,,,,,983.8,,,,0,C,3000.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891,983.8,3155.55,-0.0009597522485549348,,,,,down,,1.05185,0.05055051859790116,2024,1
MM3100BI6,2024-01-09,,,,,996.8,,,1042.0,0,C,3100.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982,996.8,3155.55,-0.0009597522485549348,,,,,down,,1.0179193548387098,0.017760695774910424,2024,1
MM3150BI6,2024-01-09,,,,,958.65,,,1896.0,0,C,3150.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982,958.65,3155.55,-0.0009597522485549348,,,,,down,,1.0017619047619049,0.001760354428469295,2024,1
MM3200BI6,2024-01-09,,,,,921.7,,,854.0,0,C,3200.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982,921.7,3155.55,-0.0009597522485549348,,,,,down,,0.9861093750000001,-0.013988002539669898,2024,1
MM3050BL6,2024-01-09,,,,,1132.6,,,1752.0,0,C,3050.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073,1132.6,3155.55,-0.0009597522485549348,,,,,down,,1.0346065573770493,0.03402121664669078,2024,1
MM3100BL6,2024-01-09,,,,,1092.45,,,570.0,0,C,3100.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073,1092.45,3155.55,-0.0009597522485549348,,,,,down,,1.0179193548387098,0.017760695774910424,2024,1
MM3200BL6,2024-01-09,,,,,1015.45,,,3160.0,0,C,3200.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073,1015.45,3155.55,-0.0009597522485549348,,,,,down,,0.9861093750000001,-0.013988002539669898,2024,1
MM3250BL6,2024-01-09,,,,,978.6,,,1738.0,0,C,3250.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073,978.6,3155.55,-0.0009597522485549348,,,,,down,,0.9709384615384616,-0.029492189075635115,2024,1
MM2500BR6,2024-01-10,,,,,4.5,,,,0,P,2500.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,4.5,3164.7,0.0028954571077246527,,,,,down,,1.26588,0.23576753249958057,2024,1
MM2550BR6,2024-01-10,,,,,6.1,,,,0,P,2550.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,6.1,3164.7,0.0028954571077246527,,,,,down,,1.2410588235294118,0.21596490520340095,2024,1
MM2600BF6,2024-01-10,,,,,1326.5,,,98.0,0,C,2600.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,1326.5,3164.7,0.0028954571077246527,,,,,down,,1.2171923076923077,0.19654681934629936,2024,1
MM2600BR6,2024-01-10,,,,,8.15,,,,0,P,2600.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,8.15,3164.7,0.0028954571077246527,,,,,down,,1.2171923076923077,0.19654681934629936,2024,1
MM2650BF6,2024-01-10,,,,,1279.05,,,1144.0,0,C,2650.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,1279.05,3164.7,0.0028954571077246527,,,,,down,,1.1942264150943396,0.17749862437560485,2024,1
MM2700BF6,2024-01-10,,,,,1232.2,,,954.0,0,C,2700.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,1232.2,3164.7,0.0028954571077246527,,,,,down,,1.172111111111111,0.15880649136345232,2024,1
MM2700BR6,2024-01-10,,,,,13.85,,,,0,P,2700.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,13.85,3164.7,0.0028954571077246527,,,,,down,,1.172111111111111,0.15880649136345232,2024,1
MM2750BF6,2024-01-10,,,,,1186.1,,,144.0,0,C,2750.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,1186.1,3164.7,0.0028954571077246527,,,,,down,,1.1507999999999998,0.14045735269525564,2024,1
MM2750BR6,2024-01-10,,,,,17.75,,,,0,P,2750.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,17.75,3164.7,0.0028954571077246527,,,,,down,,1.1507999999999998,0.14045735269525564,2024,1
MM2800BF6,2024-01-10,,,,,1140.75,,,182.0,0,C,2800.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,1140.75,3164.7,0.0028954571077246527,,,,,down,,1.13025,0.12243884719257746,2024,1
MM2800BR6,2024-01-10,,,,,22.4,,,,0,P,2800.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,22.4,3164.7,0.0028954571077246527,,,,,down,,1.13025,0.12243884719257746,2024,1
MM3000BF6,2024-01-10,,,,,969.05,,,,0,C,3000.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890,969.05,3164.7,0.0028954571077246527,,,,,down,,1.0549,0.05344597570562598,2024,1
MM3100BI6,2024-01-10,,,,,981.05,,,1042.0,0,C,3100.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981,981.05,3164.7,0.0028954571077246527,,,,,down,,1.0208709677419354,0.020656152882635094,2024,1
MM3150BI6,2024-01-10,,,,,942.35,,,1896.0,0,C,3150.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981,942.35,3164.7,0.0028954571077246527,,,,,down,,1.0046666666666666,0.004655811536193956,2024,1
MM3200BI6,2024-01-10,,,,,904.85,,,854.0,0,C,3200.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981,904.85,3164.7,0.0028954571077246527,,,,,down,,0.98896875,-0.011092545431945192,2024,1
MM3050BL6,2024-01-10,,,,,1118.2,,,1752.0,0,C,3050.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072,1118.2,3164.7,0.0028954571077246527,,,,,down,,1.0376065573770492,0.03691667375441549,2024,1
MM3100BL6,2024-01-10,,,,,1077.45,,,570.0,0,C,3100.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072,1077.45,3164.7,0.0028954571077246527,,,,,down,,1.0208709677419354,0.020656152882635094,2024,1
MM3200BL6,2024-01-10,,,,,999.2,,,3160.0,0,C,3200.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072,999.2,3164.7,0.0028954571077246527,,,,,down,,0.98896875,-0.011092545431945192,2024,1
MM3250BL6,2024-01-10,,,,,961.8,,,1738.0,0,C,3250.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072,961.8,3164.7,0.0028954571077246527,,,,,down,,0.9737538461538461,-0.026596731967910472,2024,1
MM2500BR6,2024-01-11,,,,,6.85,,,,0,P,2500.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889,6.85,3181.25,0.0052159369429602975,,,,,down,,1.2725,0.24098346944254073,2024,1
MM2550BR6,2024-01-11,,,,,8.95,,,,0,P,2550.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889,8.95,3181.25,0.0052159369429602975,,,,,down,,1.2475490196078431,0.22118084214636105,2024,1
MM2600BF6,2024-01-11,,,,,1340.95,,,98.0,0,C,2600.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889,1340.95,3181.25,0.0052159369429602975,,,,,down,,1.2235576923076923,0.20176275628925944,2024,1
MM2600BR6,2024-01-11,,,,,11.55,,,,0,P,2600.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889,11.55,3181.25,0.0052159369429602975,,,,,down,,1.2235576923076923,0.20176275628925944,2024,1
