SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date,UNDERLYING_CLOSE,UNDERLYING_OPEN,UNDERLYING_HIGH,UNDERLYING_LOW,UNDERLYING_VOLUME,DTE_DAYS
MM3150BC7,2024-01-03,,,,,1513.8,,,,0,C,3150.0,2027-03-18,3130.23,3099.78,3132.76,3099.1,0,1170
MM3200BC7,2024-01-03,,,,,1470.1,,,,0,C,3200.0,2027-03-18,3130.23,3099.78,3132.76,3099.1,0,1170
MM2500BR6,2024-01-04,,,,,17.5,,,,0,P,2500.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2550BR6,2024-01-04,,,,,19.4,,,,0,P,2550.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2600BF6,2024-01-04,,,,,1490.25,,,98.0,0,C,2600.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2600BR6,2024-01-04,,,,,21.55,,,,0,P,2600.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2650BF6,2024-01-04,,,,,1442.65,,,1144.0,0,C,2650.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2700BF6,2024-01-04,,,,,1395.35,,,954.0,0,C,2700.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2700BR6,2024-01-04,,,,,26.65,,,,0,P,2700.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2750BF6,2024-01-04,,,,,1348.35,,,144.0,0,C,2750.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2750BR6,2024-01-04,,,,,29.65,,,,0,P,2750.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2800BF6,2024-01-04,,,,,1301.75,,,182.0,0,C,2800.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM2800BR6,2024-01-04,,,,,33.05,,,,0,P,2800.0,2026-06-18,3136.07,3140.66,3144.25,3133.93,0,896
MM3100BI6,2024-01-04,,,,,1133.55,,,1042.0,0,C,3100.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987
MM3150BI6,2024-01-04,,,,,1090.25,,,1896.0,0,C,3150.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987
MM3200BI6,2024-01-04,,,,,1047.6,,,854.0,0,C,3200.0,2026-09-17,3136.07,3140.66,3144.25,3133.93,0,987
MM3050BL6,2024-01-04,,,,,1149.0,,,1752.0,0,C,3050.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078
MM3100BL6,2024-01-04,,,,,1105.95,,,570.0,0,C,3100.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078
MM3200BL6,2024-01-04,,,,,1022.0,,,3160.0,0,C,3200.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078
MM3250BL6,2024-01-04,,,,,981.1,,,1738.0,0,C,3250.0,2026-12-17,3136.07,3140.66,3144.25,3133.93,0,1078
MM3150BC7,2024-01-04,,,,,1468.5,,,,0,C,3150.0,2027-03-18,3136.07,3140.66,3144.25,3133.93,0,1169
MM3200BC7,2024-01-04,,,,,1423.65,,,,0,C,3200.0,2027-03-18,3136.07,3140.66,3144.25,3133.93,0,1169
MM2500BR6,2024-01-05,,,,,22.35,,,,0,P,2500.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2550BR6,2024-01-05,,,,,23.6,,,,0,P,2550.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2600BF6,2024-01-05,,,,,1348.8,,,98.0,0,C,2600.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2600BR6,2024-01-05,,,,,25.05,,,,0,P,2600.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2650BF6,2024-01-05,,,,,1300.4,,,1144.0,0,C,2650.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2700BF6,2024-01-05,,,,,1252.3,,,954.0,0,C,2700.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2700BR6,2024-01-05,,,,,28.55,,,,0,P,2700.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2750BF6,2024-01-05,,,,,1204.4,,,144.0,0,C,2750.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2750BR6,2024-01-05,,,,,30.65,,,,0,P,2750.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2800BF6,2024-01-05,,,,,1156.8,,,182.0,0,C,2800.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM2800BR6,2024-01-05,,,,,33.05,,,,0,P,2800.0,2026-06-18,3136.37,3138.27,3142.8,3128.16,0,895
MM3100BI6,2024-01-05,,,,,970.7,,,1042.0,0,C,3100.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986
MM3150BI6,2024-01-05,,,,,925.9,,,1896.0,0,C,3150.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986
MM3200BI6,2024-01-05,,,,,881.7,,,854.0,0,C,3200.0,2026-09-17,3136.37,3138.27,3142.8,3128.16,0,986
MM3050BL6,2024-01-05,,,,,1111.15,,,1752.0,0,C,3050.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077
MM3100BL6,2024-01-05,,,,,1065.4,,,570.0,0,C,3100.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077
MM3200BL6,2024-01-05,,,,,975.55,,,3160.0,0,C,3200.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077
MM3250BL6,2024-01-05,,,,,931.45,,,1738.0,0,C,3250.0,2026-12-17,3136.37,3138.27,3142.8,3128.16,0,1077
MM3150BC7,2024-01-05,,,,,1118.0,,,,0,C,3150.0,2027-03-18,3136.37,3138.27,3142.8,3128.16,0,1168
MM3200BC7,2024-01-05,,,,,1072.9,,,,0,C,3200.0,2027-03-18,3136.37,3138.27,3142.8,3128.16,0,1168
MM2500BR6,2024-01-08,,,,,42.0,,,,0,P,2500.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2550BR6,2024-01-08,,,,,46.25,,,,0,P,2550.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2600BF6,2024-01-08,,,,,1391.65,,,98.0,0,C,2600.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2600BR6,2024-01-08,,,,,50.9,,,,0,P,2600.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2650BF6,2024-01-08,,,,,1346.8,,,1144.0,0,C,2650.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2700BF6,2024-01-08,,,,,1302.35,,,954.0,0,C,2700.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2700BR6,2024-01-08,,,,,61.6,,,,0,P,2700.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2750BF6,2024-01-08,,,,,1258.45,,,144.0,0,C,2750.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2750BR6,2024-01-08,,,,,67.7,,,,0,P,2750.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2800BF6,2024-01-08,,,,,1215.1,,,182.0,0,C,2800.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2800BR6,2024-01-08,,,,,74.35,,,,0,P,2800.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM2900BF6,2024-01-08,,,,,1130.2,,,,0,C,2900.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM3000BF6,2024-01-08,,,,,1047.9,,,,0,C,3000.0,2026-06-18,3158.58,3140.12,3158.82,3139.37,0,892
MM3100BI6,2024-01-08,,,,,1056.9,,,1042.0,0,C,3100.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983
MM3150BI6,2024-01-08,,,,,1017.95,,,1896.0,0,C,3150.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983
MM3200BI6,2024-01-08,,,,,979.8,,,854.0,0,C,3200.0,2026-09-17,3158.58,3140.12,3158.82,3139.37,0,983
MM3050BL6,2024-01-08,,,,,1187.25,,,1752.0,0,C,3050.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074
MM3100BL6,2024-01-08,,,,,1147.25,,,570.0,0,C,3100.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074
MM3200BL6,2024-01-08,,,,,1069.35,,,3160.0,0,C,3200.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074
MM3250BL6,2024-01-08,,,,,1031.5,,,1738.0,0,C,3250.0,2026-12-17,3158.58,3140.12,3158.82,3139.37,0,1074
MM3150BC7,2024-01-08,,,,,1200.0,,,,0,C,3150.0,2027-03-18,3158.58,3140.12,3158.82,3139.37,0,1165
MM3200BC7,2024-01-08,,,,,1161.0,,,,0,C,3200.0,2027-03-18,3158.58,3140.12,3158.82,3139.37,0,1165
MM2500BR6,2024-01-09,,,,,6.1,,,,0,P,2500.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2550BR6,2024-01-09,,,,,8.05,,,,0,P,2550.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2600BF6,2024-01-09,,,,,1337.15,,,98.0,0,C,2600.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2600BR6,2024-01-09,,,,,10.45,,,,0,P,2600.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2650BF6,2024-01-09,,,,,1290.15,,,1144.0,0,C,2650.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2700BF6,2024-01-09,,,,,1243.75,,,954.0,0,C,2700.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2700BR6,2024-01-09,,,,,17.05,,,,0,P,2700.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2750BF6,2024-01-09,,,,,1198.1,,,144.0,0,C,2750.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2750BR6,2024-01-09,,,,,21.4,,,,0,P,2750.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2800BF6,2024-01-09,,,,,1153.3,,,182.0,0,C,2800.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM2800BR6,2024-01-09,,,,,26.6,,,,0,P,2800.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM3000BF6,2024-01-09,,,,,983.8,,,,0,C,3000.0,2026-06-18,3155.55,3156.17,3158.72,3143.03,0,891
MM3100BI6,2024-01-09,,,,,996.8,,,1042.0,0,C,3100.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982
MM3150BI6,2024-01-09,,,,,958.65,,,1896.0,0,C,3150.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982
MM3200BI6,2024-01-09,,,,,921.7,,,854.0,0,C,3200.0,2026-09-17,3155.55,3156.17,3158.72,3143.03,0,982
MM3050BL6,2024-01-09,,,,,1132.6,,,1752.0,0,C,3050.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073
MM3100BL6,2024-01-09,,,,,1092.45,,,570.0,0,C,3100.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073
MM3200BL6,2024-01-09,,,,,1015.45,,,3160.0,0,C,3200.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073
MM3250BL6,2024-01-09,,,,,978.6,,,1738.0,0,C,3250.0,2026-12-17,3155.55,3156.17,3158.72,3143.03,0,1073
MM3150BC7,2024-01-09,,,,,1153.3,,,,0,C,3150.0,2027-03-18,3155.55,3156.17,3158.72,3143.03,0,1164
MM3200BC7,2024-01-09,,,,,1114.35,,,,0,C,3200.0,2027-03-18,3155.55,3156.17,3158.72,3143.03,0,1164
MM2500BR6,2024-01-10,,,,,4.5,,,,0,P,2500.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2550BR6,2024-01-10,,,,,6.1,,,,0,P,2550.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2600BF6,2024-01-10,,,,,1326.5,,,98.0,0,C,2600.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2600BR6,2024-01-10,,,,,8.15,,,,0,P,2600.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2650BF6,2024-01-10,,,,,1279.05,,,1144.0,0,C,2650.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2700BF6,2024-01-10,,,,,1232.2,,,954.0,0,C,2700.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2700BR6,2024-01-10,,,,,13.85,,,,0,P,2700.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2750BF6,2024-01-10,,,,,1186.1,,,144.0,0,C,2750.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2750BR6,2024-01-10,,,,,17.75,,,,0,P,2750.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2800BF6,2024-01-10,,,,,1140.75,,,182.0,0,C,2800.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM2800BR6,2024-01-10,,,,,22.4,,,,0,P,2800.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM3000BF6,2024-01-10,,,,,969.05,,,,0,C,3000.0,2026-06-18,3164.7,3158.35,3174.28,3156.44,0,890
MM3100BI6,2024-01-10,,,,,981.05,,,1042.0,0,C,3100.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981
MM3150BI6,2024-01-10,,,,,942.35,,,1896.0,0,C,3150.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981
MM3200BI6,2024-01-10,,,,,904.85,,,854.0,0,C,3200.0,2026-09-17,3164.7,3158.35,3174.28,3156.44,0,981
MM3050BL6,2024-01-10,,,,,1118.2,,,1752.0,0,C,3050.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072
MM3100BL6,2024-01-10,,,,,1077.45,,,570.0,0,C,3100.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072
MM3200BL6,2024-01-10,,,,,999.2,,,3160.0,0,C,3200.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072
MM3250BL6,2024-01-10,,,,,961.8,,,1738.0,0,C,3250.0,2026-12-17,3164.7,3158.35,3174.28,3156.44,0,1072
MM3150BC7,2024-01-10,,,,,1138.95,8410500.0,267.0,534.0,25,C,3150.0,2027-03-18,3164.7,3158.35,3174.28,3156.44,0,1163
MM3200BC7,2024-01-10,,,,,1099.35,,,,0,C,3200.0,2027-03-18,3164.7,3158.35,3174.28,3156.44,0,1163
MM2500BR6,2024-01-11,,,,,6.85,,,,0,P,2500.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2550BR6,2024-01-11,,,,,8.95,,,,0,P,2550.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2600BF6,2024-01-11,,,,,1340.95,,,98.0,0,C,2600.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2600BR6,2024-01-11,,,,,11.55,,,,0,P,2600.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2650BF6,2024-01-11,,,,,1294.1,,,1144.0,0,C,2650.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2700BF6,2024-01-11,,,,,1247.95,,,954.0,0,C,2700.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2700BR6,2024-01-11,,,,,18.55,,,,0,P,2700.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2750BF6,2024-01-11,,,,,1202.5,,,144.0,0,C,2750.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2750BR6,2024-01-11,,,,,23.1,,,,0,P,2750.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2800BF6,2024-01-11,,,,,1157.95,,,182.0,0,C,2800.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2800BR6,2024-01-11,,,,,28.55,,,,0,P,2800.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM2900BF6,2024-01-11,,,,,1071.6,,,,0,C,2900.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM3000BF6,2024-01-11,,,,,989.45,,,,0,C,3000.0,2026-06-18,3181.25,3158.3,3181.25,3148.5,0,889
MM3100BI6,2024-01-11,,,,,1001.85,,,1042.0,0,C,3100.0,2026-09-17,3181.25,3158.3,3181.25,3148.5,0,980
MM3150BI6,2024-01-11,,,,,964.0,,,1896.0,0,C,3150.0,2026-09-17,3181.25,3158.3,3181.25,3148.5,0,980
MM3200BI6,2024-01-11,,,,,927.35,,,854.0,0,C,3200.0,2026-09-17,3181.25,3158.3,3181.25,3148.5,0,980
MM3050BL6,2024-01-11,,,,,1136.2,,,1752.0,0,C,3050.0,2026-12-17,3181.25,3158.3,3181.25,3148.5,0,1071
MM3100BL6,2024-01-11,,,,,1096.4,,,570.0,0,C,3100.0,2026-12-17,3181.25,3158.3,3181.25,3148.5,0,1071
MM3200BL6,2024-01-11,,,,,1020.0,,,3160.0,0,C,3200.0,2026-12-17,3181.25,3158.3,3181.25,3148.5,0,1071
MM3250BL6,2024-01-11,,,,,983.5,,,1738.0,0,C,3250.0,2026-12-17,3181.25,3158.3,3181.25,3148.5,0,1071
MM3150BC7,2024-01-11,,,,,1156.3,126000.0,4.0,542.0,1,C,3150.0,2027-03-18,3181.25,3158.3,3181.25,3148.5,0,1162
MM3200BC7,2024-01-11,,,,,1117.7,,,,0,C,3200.0,2027-03-18,3181.25,3158.3,3181.25,3148.5,0,1162
MM2500BR6,2024-01-12,,,,,61.05,,,,0,P,2500.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2550BR6,2024-01-12,,,,,67.15,,,,0,P,2550.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2600BF6,2024-01-12,,,,,1472.4,,,98.0,0,C,2600.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2600BR6,2024-01-12,,,,,73.8,,,,0,P,2600.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2650BF6,2024-01-12,,,,,1429.55,,,1144.0,0,C,2650.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2700BF6,2024-01-12,,,,,1387.25,,,954.0,0,C,2700.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2700BR6,2024-01-12,,,,,88.65,,,,0,P,2700.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2750BF6,2024-01-12,,,,,1345.6,,,144.0,0,C,2750.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2750BR6,2024-01-12,,,,,97.0,,,,0,P,2750.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2800BF6,2024-01-12,,,,,1304.5,,,182.0,0,C,2800.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM2800BR6,2024-01-12,,,,,105.9,,,,0,P,2800.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM3000BF6,2024-01-12,,,,,1147.0,,,,0,C,3000.0,2026-06-18,3185.22,3182.5,3196.98,3176.09,0,888
MM3100BI6,2024-01-12,,,,,1168.7,,,1042.0,0,C,3100.0,2026-09-17,3185.22,3182.5,3196.98,3176.09,0,979
MM3150BI6,2024-01-12,,,,,1132.3,,,1896.0,0,C,3150.0,2026-09-17,3185.22,3182.5,3196.98,3176.09,0,979
MM3200BI6,2024-01-12,,,,,1096.65,,,854.0,0,C,3200.0,2026-09-17,3185.22,3182.5,3196.98,3176.09,0,979
MM3050BL6,2024-01-12,,,,,1276.85,,,1752.0,0,C,3050.0,2026-12-17,3185.22,3182.5,3196.98,3176.09,0,1070
MM3100BL6,2024-01-12,,,,,1239.75,,,570.0,0,C,3100.0,2026-12-17,3185.22,3182.5,3196.98,3176.09,0,1070
MM3200BL6,2024-01-12,,,,,1167.7,,,3160.0,0,C,3200.0,2026-12-17,3185.22,3182.5,3196.98,3176.09,0,1070
MM3250BL6,2024-01-12,,,,,1132.75,,,1738.0,0,C,3250.0,2026-12-17,3185.22,3182.5,3196.98,3176.09,0,1070
MM3150BC7,2024-01-12,,,,,1331.6,,,542.0,0,C,3150.0,2027-03-18,3185.22,3182.5,3196.98,3176.09,0,1161
MM3200BC7,2024-01-12,,,,,1295.25,352000.0,11.0,22.0,1,C,3200.0,2027-03-18,3185.22,3182.5,3196.98,3176.09,0,1161
MM2500BR6,2024-01-15,,,,,18.0,,,,0,P,2500.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2550BR6,2024-01-15,,,,,21.75,,,,0,P,2550.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2600BF6,2024-01-15,,,,,1421.55,,,98.0,0,C,2600.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2600BR6,2024-01-15,,,,,26.05,,,,0,P,2600.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2650BF6,2024-01-15,,,,,1376.5,,,1144.0,0,C,2650.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2700BF6,2024-01-15,,,,,1332.2,,,954.0,0,C,2700.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2700BR6,2024-01-15,,,,,36.7,,,,0,P,2700.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2750BF6,2024-01-15,,,,,1288.6,,,144.0,0,C,2750.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2750BR6,2024-01-15,,,,,43.1,,,,0,P,2750.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2800BF6,2024-01-15,,,,,1245.9,,,182.0,0,C,2800.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM2800BR6,2024-01-15,,,,,50.4,,,,0,P,2800.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM3000BF6,2024-01-15,,,,,1084.05,,,,0,C,3000.0,2026-06-18,3184.88,3190.62,3200.78,3176.73,0,885
MM3100BI6,2024-01-15,,,,,1103.15,,,1042.0,0,C,3100.0,2026-09-17,3184.88,3190.62,3200.78,3176.73,0,976
MM3150BI6,2024-01-15,,,,,1066.65,,,1896.0,0,C,3150.0,2026-09-17,3184.88,3190.62,3200.78,3176.73,0,976
MM3200BI6,2024-01-15,,,,,1031.15,,,854.0,0,C,3200.0,2026-09-17,3184.88,3190.62,3200.78,3176.73,0,976
MM3050BL6,2024-01-15,,,,,1238.15,,,1752.0,0,C,3050.0,2026-12-17,3184.88,3190.62,3200.78,3176.73,0,1067
MM3100BL6,2024-01-15,,,,,1200.1,,,570.0,0,C,3100.0,2026-12-17,3184.88,3190.62,3200.78,3176.73,0,1067
MM3200BL6,2024-01-15,,,,,1126.85,,,3160.0,0,C,3200.0,2026-12-17,3184.88,3190.62,3200.78,3176.73,0,1067
MM3250BL6,2024-01-15,,,,,1091.7,,,1738.0,0,C,3250.0,2026-12-17,3184.88,3190.62,3200.78,3176.73,0,1067
MM3150BC7,2024-01-15,,,,,1262.7,,,542.0,0,C,3150.0,2027-03-18,3184.88,3190.62,3200.78,3176.73,0,1158
MM3200BC7,2024-01-15,,,,,1225.9,,,22.0,0,C,3200.0,2027-03-18,3184.88,3190.62,3200.78,3176.73,0,1158
MM2500BR6,2024-01-16,,,,,25.3,,,,0,P,2500.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2550BR6,2024-01-16,,,,,28.85,,,,0,P,2550.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2600BF6,2024-01-16,,,,,1422.85,,,98.0,0,C,2600.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2600BR6,2024-01-16,,,,,32.85,,,,0,P,2600.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2650BF6,2024-01-16,,,,,1377.3,,,1144.0,0,C,2650.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2700BF6,2024-01-16,,,,,1332.3,,,954.0,0,C,2700.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2700BR6,2024-01-16,,,,,42.3,,,,0,P,2700.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2750BF6,2024-01-16,,,,,1287.85,,,144.0,0,C,2750.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2750BR6,2024-01-16,,,,,47.85,,,,0,P,2750.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
MM2800BF6,2024-01-16,,,,,1244.05,,,182.0,0,C,2800.0,2026-06-18,3179.45,3186.77,3187.14,3162.98,0,884
