BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE,SECID_REQUESTED
RFUD,2025-11-13,MMU6,2877.15,2877.15,2886.8,2885.3,45126092.0,403852.5,14.0,1564,2885.3,0.0,2884.66,0.04,1.0,10,MXI-9.26,MXI,MMU6
RFUD,2025-11-14,MMU6,2888.1,2823.05,2888.1,2855.2,42485376.0,4050723.0,142.0,1488,2855.2,0.0,2852.62,-1.04,1.0,87,MXI-9.26,MXI,MMU6
RFUD,2025-11-17,MMU6,2862.35,2841.1,2868.6,2847.45,42313107.0,542391.5,19.0,1486,2847.45,0.0,2854.69,-0.27,1.0,16,MXI-9.26,MXI,MMU6
RFUD,2025-11-18,MMU6,2835.0,2831.0,2895.0,2884.05,43145388.0,574314.0,20.0,1496,2884.05,0.0,2871.57,1.29,1.0,20,MXI-9.26,MXI,MMU6
RFUD,2025-11-19,MMU6,2896.0,2878.9,2969.15,2957.9,44723448.0,5063964.0,173.0,1512,2957.9,0.0,2927.15,2.56,1.0,146,MXI-9.26,MXI,MMU6
RFUD,2025-11-20,MMU6,2951.0,2894.8,3066.0,2912.1,45820450.0,8214603.5,279.0,1570,2918.5,0.0,2944.3,-1.55,1.0,178,MXI-9.26,MXI,MMU6
RFUD,2025-11-21,MMU6,2926.65,2926.65,3000.05,2972.1,45651456.0,6299816.0,212.0,1536,2972.1,0.0,2971.61,2.06,1.0,187,MXI-9.26,MXI,MMU6
RFUD,2025-11-24,MMU6,2986.15,2947.5,3012.25,2952.85,46477859.0,2435475.0,82.0,1574,2952.85,0.0,2970.09,-0.65,1.0,68,MXI-9.26,MXI,MMU6
RFUD,2025-11-25,MMU6,2945.3,2945.3,2984.3,2984.3,47092254.0,1482114.0,50.0,1578,2984.3,0.0,2964.23,1.06,1.0,45,MXI-9.26,MXI,MMU6
RFUD,2025-11-26,MMU6,2976.0,2952.7,2991.45,2959.3,48414148.0,2349906.5,79.0,1636,2959.3,0.0,2974.57,-0.84,1.0,70,MXI-9.26,MXI,MMU6
RFUD,2025-11-27,MMU6,2951.8,2900.05,2974.05,2923.6,47947040.0,1728215.0,59.0,1640,2923.6,0.0,2929.18,-1.21,2.0,47,MXI-9.26,MXI,MMU6
RFUD,2025-11-28,MMU6,2924.9,2916.5,2979.55,2979.55,50377866.0,1494577.0,51.0,1694,2973.9,0.0,2930.54,1.91,1.0,40,MXI-9.26,MXI,MMU6
RFUD,2025-12-01,MMU6,2951.0,2951.0,2980.0,2964.9,50047512.0,1693629.0,57.0,1688,2964.9,0.0,2971.28,-0.49,1.0,46,MXI-9.26,MXI,MMU6
RFUD,2025-12-02,MMU6,2978.6,2951.8,2982.9,2970.75,49936120.0,1247631.5,42.0,1690,2954.8,0.0,2970.55,0.2,1.0,35,MXI-9.26,MXI,MMU6
RFUD,2025-12-03,MMU6,2977.9,2925.0,2977.9,2943.45,50391864.0,1558810.5,53.0,1712,2943.45,0.0,2941.15,-0.92,1.0,44,MXI-9.26,MXI,MMU6
RFUD,2025-12-04,MMU6,2964.8,2951.8,2966.75,2952.15,51013152.0,976551.0,33.0,1728,2952.15,0.0,2959.25,0.3,2.0,26,MXI-9.26,MXI,MMU6
RFUD,2025-12-05,MMU6,2956.4,2948.2,2995.2,2995.2,54086088.0,4170032.5,140.0,1806,2994.8,0.0,2978.59,1.46,1.0,83,MXI-9.26,MXI,MMU6
RFUD,2025-12-08,MMU6,2982.2,2982.2,3011.75,2992.0,52951320.0,1768616.0,59.0,1770,2991.6,0.0,2997.65,-0.11,4.0,44,MXI-9.26,MXI,MMU6
