region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg,emp_mining,emp_manufacturing,emp_energy,emp_metallurgy,emp_chemicals,emp_construction,emp_mining_pc,emp_manufacturing_pc,emp_energy_pc,emp_metallurgy_pc,emp_chemicals_pc,emp_construction_pc,ln_emp_mining_pc,ln_emp_manufacturing_pc,ln_emp_energy_pc,ln_emp_construction_pc
Мурманская область,2015,739001.0,69.9,8.2,93.0,401582689.6,61.6,140.8,75.53999999999999,106.8,543.4129177091777,0.0001905274823714,0.0001022190768348,6.297869468717754,-8.56571410938583,-9.188392235825164,13.513054553109397,15045.0,36837.0,18790.0,11629.0,412.0,22381.0,0.020358565144025516,0.04984702321106467,0.025426217285226947,0.015736108611490378,0.0005575093944392498,0.030285479992584585,-3.8942535640452505,-2.9987964992807736,-3.671974460701885,-3.497086889489267
Ненецкий автономный округ (Архангельская область),2015,42389.0,70.29,12.4,71.7,227193534.4,55.0,38.82,17.22,110.2,5359.728571091557,0.0009158036282997,0.0004062374672674,8.586668613060889,-6.995708595858212,-7.808572674599515,10.654644173598973,8646.0,571.0,2026.0,0.0,0.0,2656.0,0.20396801056877964,0.01347047583099389,0.0477954186227559,0.0,0.0,0.06265776498619925,-1.589792108371396,-4.307254963942963,-3.0408254887903445,-2.7700676630026484
Нижегородская область,2015,3250563.0,70.11,8.3,79.4,1104643248.6,57.5,66.57,35.11,102.5,339.8313610903711,2.0479529238473455e-05,1.0801205821883778e-05,5.828449497770083,-10.796084744459822,-11.435852779892093,14.994338770072432,2146.0,320883.0,32898.0,17323.0,15814.0,157335.0,0.0006601933265099,0.09871613009807839,0.01012070832037404,0.005329230659427305,0.004865003385567362,0.048402384448478615,-7.32297784688179,-2.3155069203827496,-4.5931716254403305,-3.02820620100862
Новгородская область,2015,615245.0,68.63,7.7,71.3,234075725.6,55.3,21.06,45.8,102.7,380.4593708197547,3.423026599159684e-05,7.444188900356768e-05,5.9413793932030305,-10.282400334736716,-9.505491750322408,13.329775841442547,971.0,62223.0,8632.0,559.0,4759.0,19204.0,0.0015782330616258564,0.10113532007574218,0.01403018309779031,0.0009085811343448545,0.007735129907597786,0.031213581581321263,-6.451449373151222,-2.291295856145559,-4.266544334504577,-3.4669019717917164
Новосибирская область,2015,2761518.0,70.91,8.9,78.6,1021642902.8,59.0,96.47,138.12,101.0,369.9569956813607,3.493368502396146e-05,5.001596947765685e-05,5.913386770995071,-10.262059007316306,-9.903168213976976,14.831291086498767,6431.0,179753.0,27471.0,4484.0,7302.0,91924.0,0.002328791628372511,0.06509209789688135,0.009947789585293305,0.0016237446216175306,0.0026441978650872454,0.0332874889825089,-6.062405760363905,-2.7319521212077396,-4.610404904722927,-3.4025736588219715
Омская область,2015,1966641.0,70.39,9.3,72.3,618127725.2,58.6,95.3,130.0,100.4,314.306335116577,4.8458259539997386e-05,6.610255760965016e-05,5.7503680998733016,-9.934807758615062,-9.624303118819634,14.491837569275216,750.0,130353.0,19903.0,1770.0,3023.0,75458.0,0.00038136090928644325,0.06628205147762098,0.010120301570037439,0.000900011745916006,0.0015371387050305571,0.03836897532391524,-7.8717643627448615,-2.713836135218686,-4.593211816155997,-3.260506080216293
Оренбургская область,2015,1967232.0,69.5,9.2,59.6,774962130.7,57.4,226.61,25.33,92.5,393.93530132694065,0.0001151923108204,1.287595972411998e-05,5.976186685983923,-9.068907558280817,-11.260148572513346,14.49213803652693,44802.0,109721.0,24719.0,15262.0,2815.0,69430.0,0.022774131368338862,0.055774306233326826,0.01256537103910469,0.0077581088554883205,0.0014309445962652093,0.03529324451818596,-3.7821299762631724,-2.886441977408283,-4.376810578847984,-3.34406370677961
Орловская область,2015,760828.0,70.34,8.6,66.3,208237918.7,56.6,5.45,4.49,100.2,273.6990735093871,7.1632484608873495e-06,5.901465245758568e-06,5.612029230982033,-11.846546984225816,-12.040309891146808,13.542162592900969,157.0,52660.0,7814.0,1586.0,94.0,20542.0,0.00020635412997418602,0.06921406677987665,0.010270389628141972,0.0020845710199940064,0.0001235496064813598,0.02699953208872439,-8.48591678755266,-2.6705511598506693,-4.5784903172859535,-3.61193574317522
Пензенская область,2015,1346711.0,72.0,8.2,68.0,343328597.1,56.8,19.52,7.2,104.8,254.938585264396,1.4494572332148471e-05,5.346358647103944e-06,5.541022674050902,-11.14173630053448,-12.139094855497415,14.113175881519425,807.0,103344.0,10048.0,1370.0,417.0,50798.0,0.0005992376983629005,0.07673806778143195,0.007461140511958394,0.001017293242573945,0.0003096432716447701,0.03772004535494252,-7.419852213249476,-2.567357373247171,-4.898046992811445,-3.2775636188066137
Пермский край,2015,2623408.0,69.06,9.1,75.7,1063780253.6,57.3,135.38,46.370000000000005,99.5,405.4955438117136,5.160463031293645e-05,1.7675481663546046e-05,6.005109884128164,-9.871899154755848,-10.94333209543294,14.77998479383631,17809.0,232816.0,27062.0,14604.0,31234.0,104921.0,0.006788498014796021,0.08874563163640578,0.010315589492751413,0.005566804705939754,0.01190588730384294,0.039994160267865314,-4.992525567360304,-2.4219810728362496,-4.5740989850127205,-3.2190218288296277
