region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg
Омская область,2015,1966641.0,70.39,9.3,72.3,618127725.2,58.6,95.3,130.0,100.4,314.306335116577,4.8458259539997386e-05,6.610255760965016e-05,5.7503680998733016,-9.934807758615062,-9.624303118819634,14.491837569275217
Оренбургская область,2015,1967232.0,69.5,9.2,59.6,774962130.7,57.4,226.61,25.33,92.5,393.93530132694065,0.0001151923108204,1.287595972411998e-05,5.976186685983923,-9.068907558280815,-11.260148572513346,14.49213803652693
Орловская область,2015,760828.0,70.34,8.6,66.3,208237918.7,56.6,5.45,4.49,100.2,273.6990735093871,7.1632484608873495e-06,5.901465245758568e-06,5.612029230982033,-11.846546984225817,-12.040309891146807,13.542162592900969
Пензенская область,2015,1346711.0,72.0,8.2,68.0,343328597.1,56.8,19.52,7.2,104.8,254.938585264396,1.4494572332148471e-05,5.346358647103944e-06,5.541022674050902,-11.141736300534479,-12.139094855497415,14.113175881519425
Пермский край,2015,2623408.0,69.06,9.1,75.7,1063780253.6,57.3,135.38,46.370000000000005,99.5,405.4955438117136,5.160463031293645e-05,1.7675481663546046e-05,6.005109884128164,-9.871899154755848,-10.94333209543294,14.77998479383631
Приморский край,2015,1921761.0,69.14,8.6,77.3,717609859.0,59.8,61.64,163.38,87.6,373.4126454850525,3.2074748108635775e-05,8.501577459423935e-05,5.92268409632169,-10.347441500692607,-9.372673735230798,14.468752511144523
Псковская область,2015,641655.0,68.35,7.6,70.3,135239497.6,55.9,13.55,12.47,102.8,210.76668552415236,2.111726706719343e-05,1.9434119581394985e-05,5.350751765867365,-10.76541950772673,-10.848480295360494,13.371806055052438
Республика Адыгея,2015,462600.0,72.4,9.2,50.5,84306017.5,57.0,5.15,1.5100000000000002,103.1,182.24387699956768,1.11327280587981e-05,3.2641591007349767e-06,5.205345773614194,-11.405621314103831,-12.632508377952643,13.044618028779476
Республика Алтай,2015,209910.0,68.19,9.1,29.9,42165741.1,55.6,4.13,7.84,125.2,200.87533276165976,1.9675098851888904e-05,3.734934019341623e-05,5.30268448061715,-10.836156739435111,-10.195195312045735,12.254434146408052
Республика Башкортостан,2015,4109848.0,70.19,8.9,61.4,1316598267.2,58.3,214.06,83.34,101.3,320.35205856761615,5.2084651305839046e-05,2.027812220792594e-05,5.769420574059752,-9.862640253263931,-10.805967976825853,15.22889660282016
Республика Бурятия,2015,978553.0,69.1,8.5,59.3,202823397.5,58.0,53.53,97.51,101.6,207.26868907458257,5.4703219958448856e-05,9.964713204088076e-05,5.3340159664254205,-9.81358798448369,-9.213875292041953,13.79383022888898
