region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc
Республика Калмыкия,2015,278766.0,72.02,10.4,45.3,51958480.0,59.1,1.42,1.06,99.7,186.3874360574819,5.093878019557622e-06,3.8024723244585066e-06
Республика Карелия,2015,601899.0,68.72,9.4,79.0,212049538.8,57.2,62.7,32.39,99.7,352.30086575987,0.00010417030099734341,5.381301514041392e-05
Республика Коми,2015,831076.0,69.14,10.3,77.4,528403419.7,60.2,311.19,113.35,101.6,635.8063759511765,0.0003744422892731832,0.00013638945174689198
Республика Крым,2015,1904256.0,70.5,7.1,50.7,265970577.7,56.1,11.35,5.1899999999999995,123.0,139.67165008276197,5.960333064461921e-06,2.7254738858640854e-06
Республика Марий Эл,2015,688676.0,69.84,9.3,65.4,171689478.4,58.1,16.13,11.16,108.5,249.30370508047326,2.342175420662256e-05,1.6205007870174074e-05
Республика Мордовия,2015,812533.0,72.14,9.8,61.6,180352298.3,59.0,16.54,6.42,98.1,221.96304433173793,2.035609630624233e-05,7.901217550548717e-06
Республика Саха (Якутия),2015,960741.0,70.23,9.4,65.3,747601714.4,60.5,150.68,104.66,103.8,778.1511504141074,0.00015683727456203077,0.00010893674778113976
Республика Северная Осетия - Алания,2015,704115.0,74.03,8.7,63.7,126051166.3,57.5,2.87,0.9099999999999999,91.7,179.02070869105188,4.076038715266683e-06,1.2924025194748016e-06
Республика Татарстан (Татарстан),2015,3906797.0,72.92,7.7,76.3,1867258739.6,58.6,141.51,60.480000000000004,101.5,477.95130885991773,3.622148783261582e-05,1.5480712204908524e-05
Республика Тыва,2015,316164.0,63.14,8.3,54.5,47289593.9,55.9,10.45,18.79,105.1,149.57298712060827,3.305246644146708e-05,5.943118128566187e-05
Республика Хакасия,2015,538067.0,68.72,8.0,68.0,170413137.9,57.3,46.26,34.2,98.0,316.71360239524074,8.597442325955689e-05,6.356085766270744e-05
Ростовская область,2015,4254694.0,71.9,8.0,67.8,1189144016.3,58.1,79.13,92.95,153.2,279.4899036922514,1.8598282273648822e-05,2.1846459463359765e-05
Рязанская область,2015,1138164.0,71.48,8.7,71.0,323131804.9,56.2,48.66,32.83,97.2,283.9061900569689,4.2753065463325145e-05,2.8844700763686076e-05
Самарская область,2015,3222676.0,70.4,8.9,80.3,1264910264.8,58.2,125.2,39.39,99.4,392.5030827796527,3.884970130413358e-05,1.222276145662797e-05
Санкт-Петербург,2015,5303737.0,74.42,9.3,100.0,3387417730.2,60.3,36.44,38.69,93.0,638.6850875524182,6.8706272577241285e-06,7.294856438017194e-06
Саратовская область,2015,2518281.0,71.5,8.8,75.5,625176880.6,57.7,55.32,10.99,104.2,248.2554093844174,2.1967365834074912e-05,4.3640880425973114e-06
Сахалинская область,2015,479031.0,67.95,9.9,81.3,837495152.9,59.6,30.02,44.34,112.6,1748.3109713150088,6.266817805110734e-05,9.256185925336774e-05
Свердловская область,2015,4328434.0,69.82,7.4,84.5,1822834946.3,57.3,494.85,403.56,96.9,421.1303548350281,0.00011432541191571825,9.323464329131506e-05
Севастополь,2015,418188.0,70.76,6.2,92.4,48663257.2,57.2,0.96,0.88,372.9,116.36693831482492,2.2956182386869064e-06,2.104316718796331e-06
Смоленская область,2015,952054.0,69.64,7.9,72.5,256706829.0,58.3,20.19,10.67,101.4,269.63473605488764,2.120678028767276e-05,1.1207347482390705e-05
Ставропольский край,2015,2850555.0,73.42,8.5,58.6,621198289.9,58.8,45.06,25.830000000000002,105.7,217.92187482788438,1.580744802327968e-05,9.061393307619043e-06
Тамбовская область,2015,1055894.0,71.63,9.0,59.3,317213651.1,57.0,19.0,11.25,104.5,300.4218710400855,1.7994230481468784e-05,1.0654478574553886e-05
Тверская область,2015,1308195.0,69.09,8.0,75.2,329616031.6,56.0,26.8,23.46,97.7,251.96246094810027,2.048624249442935e-05,1.7933106302959422e-05
Томская область,2015,1073321.0,71.29,7.8,71.7,471456736.3,60.4,149.27,48.82,108.0,439.25045377850614,0.00013907302661552324,4.548499470335529e-05
Тульская область,2015,1535617.0,70.26,9.3,76.9,477537816.9,56.4,74.8,44.45,111.9,310.9745573928916,4.8710062470003914e-05,2.89460197432042e-05
Тюменская область,2015,1462199.0,70.91,,63.9,905673481.7,54.9,63.83,22.36,109.7,619.3913972721907,4.365342884244894e-05,1.5292036172914905e-05
Удмуртская Республика,2015,1502569.0,70.35,10.3,65.0,517999830.2,57.5,80.1,18.98,102.6,344.7427906472182,5.3308699966524e-05,1.2631699442754376e-05
Ульяновская область,2015,1254898.0,70.36,9.6,74.6,304479075.1,57.7,15.89,9.09,102.4,242.63252877923148,1.2662383715648602e-05,7.243616612664934e-06
Хабаровский край,2015,1333055.0,68.78,9.7,82.6,595792329.5,60.5,67.19,82.95,102.0,446.9375453375892,5.040302163076542e-05,6.222548957094794e-05
Ханты-Мансийский автономный округ - Югра (Тюменская область),2015,1624107.0,72.62,11.6,91.9,3154058740.2,61.6,689.68,114.85,97.5,1942.0264429621939,0.0004246518240485386,7.071578412013494e-05
Челябинская область,2015,3500128.0,69.9,7.7,82.5,1209242684.3,57.2,323.22,146.48,98.0,345.48527490994616,9.234519423289664e-05,4.184989806087091e-05
Чеченская Республика,2015,1382576.0,73.33,5.0,35.9,154401405.1,56.1,8.99,11.989999999999998,101.0,111.6766131482103,6.502355024244599e-06,8.672217657474163e-06
Чувашская Республика - Чувашия,2015,1230365.0,71.29,11.7,60.7,251306959.0,58.5,13.33,5.76,95.0,204.2539888569652,1.0834183352094704e-05,4.681537592503038e-06
Чукотский автономный округ,2015,49450.0,63.91,11.3,67.2,61735529.4,64.9,8.61,19.64,101.9,1248.4434661274013,0.00017411526794742162,0.00039716885743174923
Ямало-Ненецкий автономный округ (Тюменская область),2015,519245.0,71.61,11.1,84.9,1791825606.0,64.7,304.02,56.26,104.5,3450.828811062215,0.0005855039528546254,0.0001083496230103323
Ярославская область,2015,1262927.0,70.89,9.4,81.8,443054126.2,56.3,39.98,21.520000000000003,105.6,350.8153093567562,3.165661989964582e-05,1.703978139670781e-05
