SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date
MM2550BR6,2025-05-08,,,,,86.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-12,,,,,139.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-13,,,,,146.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-14,,,,,128.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-15,,,,,139.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-16,,,,,143.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-19,,,,,115.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-20,,,,,116.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-21,,,,,82.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-22,,,,,105.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-23,,,,,49.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-26,,,,,95.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-27,,,,,115.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-28,,,,,94.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-29,,,,,84.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-05-30,,,,,61.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-02,,,,,114.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-03,,,,,96.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-04,,,,,101.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-05,,,,,83.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-06,,,,,72.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-09,,,,,178.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-10,,,,,144.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-11,,,,,114.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-13,,,,,73.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-16,,,,,143.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-17,,,,,106.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-18,,,,,40.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-19,,,,,5.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-20,,,,,79.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-23,,,,,61.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-24,,,,,107.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-25,,,,,46.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-26,,,,,123.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-27,,,,,75.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-06-30,,,,,145.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-01,,,,,130.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-02,,,,,94.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-03,,,,,127.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-04,,,,,129.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-07,,,,,118.3,,,,0,P,2550.0,2026-06-18
