SECID,rows,first_tradedate,last_tradedate
IM2600CE6B,11,2026-04-28,2026-05-13
IM2600CE6D,11,2026-05-05,2026-05-19
IM2600CQ6A,11,2026-04-21,2026-05-06
IM2600CQ6B,11,2026-04-28,2026-05-13
IM2600CQ6D,11,2026-05-05,2026-05-19
IM2650CE6A,11,2026-04-21,2026-05-06
IM2650CE6B,11,2026-04-28,2026-05-13
IM2650CE6D,11,2026-05-05,2026-05-19
IM2650CQ6A,11,2026-04-21,2026-05-06
IM2650CQ6B,11,2026-04-28,2026-05-13
IM2650CQ6D,11,2026-05-05,2026-05-19
IM2700CE5B,11,2025-04-22,2025-05-07
IM2700CE6A,11,2026-04-21,2026-05-06
IM2700CE6B,11,2026-04-28,2026-05-13
IM2700CE6D,11,2026-05-05,2026-05-19
IM2700CQ5B,11,2025-04-22,2025-05-07
IM2700CQ6A,11,2026-04-21,2026-05-06
IM2700CQ6B,11,2026-04-28,2026-05-13
IM2700CQ6D,11,2026-05-05,2026-05-19
IM2750CE5B,11,2025-04-22,2025-05-07
IM2750CE6A,11,2026-04-21,2026-05-06
IM2750CE6B,11,2026-04-28,2026-05-13
IM2750CE6D,11,2026-05-05,2026-05-19
IM2750CQ5B,11,2025-04-22,2025-05-07
IM2750CQ6A,11,2026-04-21,2026-05-06
IM2750CQ6B,11,2026-04-28,2026-05-13
IM2750CQ6D,11,2026-05-05,2026-05-19
IM2800CE5B,11,2025-04-22,2025-05-07
IM2800CE6A,11,2026-04-21,2026-05-06
IM2800CE6B,11,2026-04-28,2026-05-13
IM2800CE6D,11,2026-05-05,2026-05-19
IM2800CQ5B,11,2025-04-22,2025-05-07
IM2800CQ6A,11,2026-04-21,2026-05-06
IM2800CQ6B,11,2026-04-28,2026-05-13
IM2800CQ6D,11,2026-05-05,2026-05-19
IM2850CE5B,11,2025-04-22,2025-05-07
IM2850CE6A,11,2026-04-21,2026-05-06
IM2850CE6B,11,2026-04-28,2026-05-13
IM2850CE6D,11,2026-05-05,2026-05-19
IM2850CQ5B,11,2025-04-22,2025-05-07
IM2850CQ6A,11,2026-04-21,2026-05-06
IM2850CQ6B,11,2026-04-28,2026-05-13
IM2850CQ6D,11,2026-05-05,2026-05-19
IM2900CQ5B,11,2025-04-22,2025-05-07
IM2900CQ6A,11,2026-04-21,2026-05-06
IM2900CQ6B,11,2026-04-28,2026-05-13
IM2900CQ6D,11,2026-05-05,2026-05-19
IM2950CQ6A,11,2026-04-21,2026-05-06
IM3000CQ6A,11,2026-04-21,2026-05-06
MM1700BF6,11,2026-04-30,2026-05-19
MM1700BI6,11,2026-04-30,2026-05-19
MM1700BR6,11,2026-04-30,2026-05-19
MM1700BU6,11,2026-04-30,2026-05-19
MM1800BL6,11,2026-04-30,2026-05-19
MM1800BX6,11,2026-04-30,2026-05-19
MX170000BF6,11,2026-04-30,2026-05-19
IM2500CE5A,10,2025-04-08,2025-04-21
IM2650CE5B,10,2025-04-22,2025-05-07
IM2650CQ5B,10,2025-04-22,2025-05-07
IM2700CE5C,10,2025-04-29,2025-05-14
IM2700CQ5C,10,2025-04-29,2025-05-14
IM2750CE5C,10,2025-04-29,2025-05-14
IM2750CQ5C,10,2025-04-29,2025-05-14
IM2800CE5C,10,2025-04-29,2025-05-14
IM2800CQ5C,10,2025-04-29,2025-05-14
IM2850CE5C,10,2025-04-29,2025-05-14
IM2850CQ5C,10,2025-04-29,2025-05-14
IM2900CQ5C,10,2025-04-29,2025-05-14
IM2600CE5B,9,2025-04-22,2025-05-07
IM2600CE5C,9,2025-04-30,2025-05-14
IM2600CQ5B,9,2025-04-22,2025-05-07
IM2600CQ5C,9,2025-04-30,2025-05-14
IM2650CE5C,9,2025-04-30,2025-05-14
IM2650CQ5C,9,2025-04-30,2025-05-14
MX165000BI6,7,2026-05-08,2026-05-18
MX165000BU6,7,2026-05-08,2026-05-18
IM2550CE5C,6,2025-05-02,2025-05-12
IM2550CF6A,6,2026-05-12,2026-05-19
IM2600CF6A,6,2026-05-12,2026-05-19
IM2650CF6A,6,2026-05-12,2026-05-19
IM2700CF6A,6,2026-05-12,2026-05-19
IM2700CR6A,6,2026-05-12,2026-05-19
IM2750CF4D,6,2024-06-19,2024-06-26
IM2750CF6A,6,2026-05-12,2026-05-19
IM2750CR6A,6,2026-05-12,2026-05-19
MM1650BF6,6,2026-04-30,2026-05-18
MM1650BR6,6,2026-04-30,2026-05-18
MM1900BE6,6,2026-04-30,2026-05-18
MX165000BF6,6,2026-04-30,2026-05-18
MX165000BR6,6,2026-04-30,2026-05-18
IM2500CE5C,5,2025-05-05,2025-05-12
IM2550CE5B,5,2025-04-22,2025-05-07
IM2500CE5B,3,2025-05-05,2025-05-07
MM1650BI6,2,2026-05-08,2026-05-11
MM1650BU6,2,2026-05-08,2026-05-11
MM1750BL6,2,2026-05-08,2026-05-11
MM1750BX6,2,2026-05-08,2026-05-11
MM1900BG6,2,2026-05-08,2026-05-11
MM1900BH6,2,2026-05-08,2026-05-11
IM2750CF4,1,2024-06-19,2024-06-19
