secid,shortname,regnumber,name,isin,is_traded,emitent_id,emitent_title,emitent_inn,emitent_okpo,type,group,primary_boardid,marketprice_boardid,_query,_strategy,option_type,strike,expiry_date
IM2800CD6,IMOEXP150426CE2800,,Прем. европ. Call 2800 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2800.0,2026-04-15
IM2800CP6D,IMOEXP220426PE2800,,Нед. прем. европ. Put 2800 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2800.0,2026-04-22
IM2600CD6,IMOEXP150426CE2600,,Прем. европ. Call 2600 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-04-15
IM2600CF6A,IMOEXP030626CE2600,,Нед. прем. европ. Call 2600 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-06-03
IM2650CF6A,IMOEXP030626CE2650,,Нед. прем. европ. Call 2650 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-06-03
IM2700CE6D,IMOEXP270526CE2700,,Нед. прем. европ. Call 2700 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-05-27
IM2750CP6E,IMOEXP290426PE2750,,Нед. прем. европ. Put 2750 с исп. 29 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-04-29
IM2800CD6D,IMOEXP220426CE2800,,Нед. прем. европ. Call 2800 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2800.0,2026-04-22
IM2850CQ6D,IMOEXP270526PE2850,,Нед. прем. европ. Put 2850 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2850.0,2026-05-27
IM3000CQ6A,IMOEXP060526PE3000,,Нед. прем. европ. Put 3000 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,3000.0,2026-05-06
IM2550CE6B,IMOEXP130526CE2550,,Нед. прем. европ. Call 2550 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2550.0,2026-05-13
IM2600CE6B,IMOEXP130526CE2600,,Нед. прем. европ. Call 2600 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-05-13
IM2600CQ6B,IMOEXP130526PE2600,,Нед. прем. европ. Put 2600 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2600.0,2026-05-13
IM2700CQ6B,IMOEXP130526PE2700,,Нед. прем. европ. Put 2700 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2700.0,2026-05-13
IM2750CD6,IMOEXP150426CE2750,,Прем. европ. Call 2750 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-04-15
